Module,Enrichment_Number,Title,Description
Bioengineering v1.2,1,Adjacent Angles,"Find the size of each missing angle. Tip: Angle B and Angle C are supplementary angles. Angle C and Angle D are parts of an isosceles triangle. (*refer to Enrichments file in Engage for image of angles)"
Bioengineering v1.2,2,Calculating Averages,"Find the averages of the flexibility test results listed below. Show all work. 5 ¼, -2 ½, -3, 2; 11 ¾, 6 ¼, -2; -2, -1, 2, 4; -3, 4 ¼, -1, -2; 0, -6, 8, -5 ¼"
Bioengineering v1.2,3,Inscribed Angles,"Find the size of each missing angle. Tip: The 120° angle is a central angle whose vertex is the center of the circle. Angle f is an inscribed angle with its vertex on the circle. (*refer to Enrichments file in Engage for images of angles)"
Cell Structure,1,Cancer,"Cancer is a disease in which certain cells of the body lose the ability to control mitosis. Cancerous cells reproduce much more rapidly than normal. They lose their normal shapes and functions and form tumors that take over the affected organ and use the oxygen and nutrients that the normal cells need. In your Module library, research causes of cancer and ways to treat and prevent it. Write a short report giving the results of your research. Use complete sentences and correct grammar, spelling, and punctuation."
Cell Structure,2,Cell Composition,"The composition of a typical cell is shown in the graph displayed. An egg yolk is a single cell. Assume it has a typical composition. Find the amount of each material in a 63-gram egg yolk."
Cell Structure,3,Cell Shape,"Many cells have spherical shapes. The volume of a sphere is equal to 4/3 • pi • the cube of the radius. The formula is written mathematically as V = 4/3 • pi • r³. The number ""pi"" is equal to about 3.14. The cube of the radius is equal to the radius • the radius • the radius."
Cell Structure,4,Life Span,"In mammals, the average life span for most cells is between 25 and 70 hours. Mitosis in these cells lasts about an hour. Suppose a cell has a life span of 35 hours. a. If the cell enters mitosis every 6 hours, how many times will it divide in its lifetime? b. If every generation of this cell has the same life span and the same time between periods of mitosis, how many cells would the original cell produce in its 35 hours of life?"
Cell Structure,5,STEM Cells,"Stem cells are ""baby"" cells – they still have the potential to develop into any kind of body cell. Because of this potential, stem cells may be able to provide cures for many devastating diseases, including diabetes, Parkinson's disease, and Alzheimer's disease. But to find these cures, scientists must do many years of research on stem cells. Stem cell research is a bioethical problem because most stem cells used in research come from human embryos. After four or five days, the fertilized egg has become a ball of many cells, or blastocyst, which is about the size of the dot on an i. Scientists can harvest the cells, grow them in the laboratory, and treat them so that they can develop into any type of cell. But this process destroys the developing embryo. Some people feel that it is very important to do embryonic stem cell research because it will likely result in cures for serious diseases that kill many people each year and devastate the lives of many more. Others feel that using human embryos in this manner is murder and should not be allowed, no matter what can be gained from it. Which side do you agree with and why? Consider the following issues: a. Should the sanctity of human life be considered in this decision? If so, which lives? b. What are the costs and benefits of the research? c. What are the benefits and dangers to patients? d. What are some potential uses of the research? e. Should we ""play God;"" that is, should we tinker with systems we don't understand? f. Are other methods available for treating these diseases? g. Are there possible compromises?"
Cell Structure,6,Using the Microscope,"With your teacher's permission, you may also photograph, save, and print the microscopic views. You will need the microscope, lens paper, box of slides, pencil and notebook paper, and your Student Module notebook. To review how to focus the microscope, consult the page titled ""How to Use the Microscope"" in your student Module notebook. Choose one of the following activities: a. Focus on the Onion Mitosis slide. Locate, photograph, and label each stage of mitosis. Save the labeled stages in your class-hour folder, naming each photo by its stage and your initials. b. On the Human Muscle Types slide, look at all three types of muscle tissue. Using the resources in the Module library, identify each muscle type. Photograph, label, and save a photo of each type in your class-hour folder. On a piece of notebook paper, describe differences in the three types."
Chemical Math,1,ROBO Review,Be the first player to collect 5,000 points and cross the finish line.
Chemical Math,2,Displacement Volume,Determine the volume using the displacement method.
Chemical Math,3,Scientific Notation,Students practice working with scientific notation.
Chemical Math,4,Solving Equations,Students practice solving equations.
Confident Consumer,1,Buying Clothes,Compare clothing prices to determine how much clients will save by shopping at each store.
Confident Consumer,2,Coupons,"Determine final costs, best value, and best buy using unit cost and coupon savings."
Confident Consumer,3,Small Pizza Party,"Use square inches, diameters, and pizza cost to determine unit prices. Materials needed: Pizza Models."
